INSTRUMENT4,01-Jan-2022,1.1000
INSTRUMENT4,02-Jan-2022,1.2000
INSTRUMENT4,03-Jan-2022,1.3000
INSTRUMENT4,04-Jan-2022,1.4000
INSTRUMENT4,05-Jan-2022,1.5000
INSTRUMENT4,06-Jan-2022,1.6000
INSTRUMENT4,07-Jan-2022,1.7000
INSTRUMENT4,08-Jan-2022,1.8000
INSTRUMENT4,09-Jan-2022,1.9000
INSTRUMENT4,10-Jan-2022,2.0000
INSTRUMENT4,11-Jan-2022,2.1000
INSTRUMENT4,12-Jan-2022,2.2000
INSTRUMENT4,13-Jan-2022,2.3000
INSTRUMENT4,14-Jan-2022,2.4000
INSTRUMENT4,15-Jan-2022,2.5000
INSTRUMENT4,16-Jan-2022,2.6000
INSTRUMENT4,17-Jan-2022,2.7000
INSTRUMENT4,18-Jan-2022,2.8000
INSTRUMENT4,19-Jan-2022,2.9000
INSTRUMENT4,20-Jan-2022,3.0000
INSTRUMENT5,01-Jan-2022,1.1000
INSTRUMENT5,02-Jan-2022,1.2000
INSTRUMENT5,03-Jan-2022,1.3000
INSTRUMENT5,04-Jan-2022,1.4000
INSTRUMENT5,05-Jan-2022,1.5000
INSTRUMENT5,06-Jan-2022,1.6000
INSTRUMENT5,07-Jan-2022,1.7000
INSTRUMENT5,08-Jan-2022,1.8000
INSTRUMENT5,09-Jan-2022,1.9000
INSTRUMENT5,10-Jan-2022,2.0000
INSTRUMENT5,11-Jan-2022,2.1000
INSTRUMENT5,12-Jan-2022,2.2000
INSTRUMENT5,13-Jan-2022,2.3000
INSTRUMENT5,14-Jan-2022,2.4000
INSTRUMENT5,15-Jan-2022,2.5000
INSTRUMENT5,16-Jan-2022,2.6000
INSTRUMENT5,17-Jan-2022,2.7000
INSTRUMENT5,18-Jan-2022,2.8000
INSTRUMENT5,19-Jan-2022,2.9000
INSTRUMENT5,20-Jan-2022,20.0000
